sigma,explainer,RIS,PGF,delta_RIS,delta_PGF
0.0,shap,71467.0234375,0.09063701331615448,0.0,0.0
0.0,smooth_shap,71467.0234375,0.0840034931898117,0.0,-0.0066335201263427734
0.0,lime,12.586329833425657,0.24617014825344086,0.0,0.0
0.0,smooth_lime,12.586329833425657,0.24788391590118408,0.0,0.001713767647743225
0.1,shap,51583.07707375627,0.12188686430454254,0.0,0.0
0.1,smooth_shap,51583.07707375627,0.21948593854904175,0.0,0.0975990742444992
0.1,lime,10.738403911141033,0.2761348485946655,0.0,0.0
0.1,smooth_lime,10.738403911141033,0.2766927182674408,0.0,0.0005578696727752686
0.3,shap,117624.38382284468,0.08691439032554626,0.0,0.0
0.3,smooth_shap,117624.38382284468,0.20255514979362488,0.0,0.11564075946807861
0.3,lime,840055.7016971901,0.20346786081790924,0.0,0.0
0.3,smooth_lime,840055.7016971901,0.20377840101718903,0.0,0.00031054019927978516
0.5,shap,258524.03263440952,0.05647828429937363,0.0,0.0
0.5,smooth_shap,258524.03263440952,0.15367518365383148,0.0,0.09719689935445786
0.5,lime,508515.0095846854,0.1558537781238556,0.0,0.0
0.5,smooth_lime,508515.0095846854,0.15619610249996185,0.0,0.0003423243761062622
