sigma,explainer,PGF,PGU,RIS,RRS,ROS
0.0,lime,0.245910182595253,0.0819813758134841,12.586329833425657,4.827201094691601,18.89347592867936
0.0,shap,0.0931553840637207,0.2240871489048004,71467.0234375,21143.2265625,13144.91796875
0.0,grad,0.2488455176353454,0.0691260248422622,1020674375680.0,702523244544.0,647518093312.0
0.0,sg,0.2473810762166977,0.0684401988983154,109.8349380493164,55.42891311645508,56.613555908203125
0.0,itg,0.0804120898246765,0.2357375025749206,1367272062976.0,941023625216.0,867377217536.0
0.0,ig,0.2497195154428482,0.0667255371809005,19.480353008244776,9.989137379054862,13.958583032171564
0.0,random,0.0869404003024101,0.2165049016475677,25.7540225982666,7.507028579711914,25.833600997924805
0.1,lime,0.2761348485946655,0.0936374515295028,10.738403911141033,4.468356106016371,20.50876181611559
0.1,shap,0.1218868643045425,0.2348203808069229,51583.07707375627,15299.429041069088,10315.644678338716
0.1,grad,0.2779489755630493,0.0791300684213638,5924635648.0,3691062784.0,3262893312.0
0.1,sg,0.2770334780216217,0.0786857232451438,131.17332458496094,67.9869613647461,72.2070541381836
0.1,itg,0.1364423334598541,0.2253303825855255,8403754496.0,5259208704.0,4717750272.0
0.1,ig,0.277681440114975,0.0768472254276275,17.941435060075946,7.881188889803455,12.165501115547274
0.1,random,0.1009907275438308,0.2426584810018539,24.978498458862305,7.745839118957519,27.5595645904541
0.3,lime,0.2034678608179092,0.0564728863537311,840055.7016971901,801246.8582948652,884352.0263938814
0.3,shap,0.0869143903255462,0.1666297912597656,117624.38382284468,40462.99473251117,27184.236042203946
0.3,grad,0.2059449553489685,0.0470195822417736,19659735040.0,13075209216.0,12748188672.0
0.3,sg,0.2049510329961776,0.0464944131672382,3004733.75,1025943.6875,903756.5625
0.3,itg,0.0894332900643348,0.168958768248558,24804861952.0,16649994240.0,16238636032.0
0.3,ig,0.2056687623262405,0.0453275367617607,13.48887660256631,6.37577686017146,14.309295080463109
0.3,random,0.0697342902421951,0.1775518357753753,25.0203800201416,10.074583053588867,48.325008392333984
0.5,lime,0.1558537781238556,0.0414864905178546,508515.0095846854,453420.4209455601,487574.9288337343
0.5,shap,0.0564782842993736,0.1328086853027343,258524.03263440952,88302.83640546248,60164.01348563531
0.5,grad,0.157215267419815,0.0335795991122722,128958297276416.0,117056968065024.0,112520618573824.0
0.5,sg,0.157010793685913,0.0332523584365844,88262984.0,38533796.0,35477004.0
0.5,itg,0.0555995926260948,0.1353958249092102,135140642652160.0,122429158457344.0,117333548859392.0
0.5,ig,0.1565798223018646,0.0343397594988346,12.762827129613877,6.734220174807695,25.31806004837928
0.5,random,0.0591346286237239,0.1317074596881866,25.65729522705078,12.883787155151367,62.86171340942383
