sigma,explainer,PGF,PGU,RIS,RRS,ROS
0.0,lime,0.08662828803062439,0.09725330024957657,25421.733488551603,40764.18340589752,50033.208522849076
0.0,shap,0.0676487386226654,0.10842020809650421,63.72301483154297,65.46643829345703,383.9429626464844
0.0,grad,0.08559447526931763,0.0990116149187088,64536.5546875,92736.71875,94465.2734375
0.0,sg,0.08807342499494553,0.09658308327198029,2632.14111328125,3150.75390625,11497.8251953125
0.0,itg,0.06474696099758148,0.10971412807703018,47113.53515625,68418.296875,69518.75
0.0,ig,0.08605030179023743,0.09814248234033585,179.79846828397203,204.81929288166683,159.8347336586705
0.0,random,0.0317886546254158,0.12023389339447021,34.8760986328125,20.603483200073242,189.90159606933594
0.1,lime,0.08903111517429352,0.09685797244310379,31296.78482823864,43463.45597378045,49628.17096554968
0.1,shap,0.06521452218294144,0.10892567783594131,44.94478225708008,55.23503875732422,316.34613037109375
0.1,grad,0.08842305839061737,0.09745454788208008,98767.0234375,126368.703125,122171.453125
0.1,sg,0.0901571661233902,0.09601043909788132,2663.4951171875,3253.720947265625,10691.458984375
0.1,itg,0.06434617191553116,0.10885258764028549,74883.328125,95127.0703125,91426.1015625
0.1,ig,0.088707335293293,0.09668537229299545,180.06575842019598,197.9070570535873,149.0600987107589
0.1,random,0.029177891090512276,0.12119186669588089,34.777103424072266,20.382896423339844,186.93646240234375
0.3,lime,0.08584041148424149,0.09092090278863907,40904.36706263939,46849.03866219965,48866.72074486004
0.3,shap,0.04906900227069855,0.10777847468852997,45.508934020996094,57.29000473022461,427.35784912109375
0.3,grad,0.08635886013507843,0.09070301800966263,152831.953125,184418.484375,166287.3125
0.3,sg,0.08847782015800476,0.08812151849269867,5379.5009765625,6737.90673828125,21628.9140625
0.3,itg,0.04679924622178078,0.10704008489847183,125478.71875,150595.171875,134452.953125
0.3,ig,0.08737792819738388,0.08907224982976913,147.05628515364603,141.97179495500498,100.10011254234175
0.3,random,0.03229794278740883,0.1126512661576271,34.88226318359375,21.50395965576172,210.13308715820312
0.5,lime,0.07433421164751053,0.07630159705877304,26402.599845215853,29154.811251921747,27912.85825992253
0.5,shap,0.032199177891016006,0.09438247978687286,42.40058898925781,43.21969223022461,244.8383331298828
0.5,grad,0.07428213208913803,0.07668067514896393,256962.078125,285725.125,222760.59375
0.5,sg,0.07608465850353241,0.07510969787836075,4905.9296875,4924.64892578125,14016.876953125
0.5,itg,0.03599492460489273,0.09262394905090332,230650.078125,255546.078125,196638.359375
0.5,ig,0.07594958692789078,0.07519733905792236,101.54920478274319,93.56991493076522,61.95823975284531
0.5,random,0.021557064726948738,0.09852588921785355,37.38385009765625,24.65355110168457,287.9515686035156
