sigma,explainer,PGF,PGU,RIS,RRS,ROS
0.0,lime,0.07107128202915192,0.09102699160575867,156.95541381835938,146.6441650390625,254.52261352539062
0.0,shap,0.06929723918437958,0.093617744743824,22.450523376464844,19.74405860900879,165.21437072753906
0.0,grad,0.08406972885131836,0.0790664479136467,212.30140686035156,192.83421325683594,160.0028839111328
0.0,sg,0.08486536145210266,0.07759986817836761,127.89073944091797,113.02095031738281,127.66150665283203
0.0,itg,0.07836420089006424,0.08892036229372025,234.96302795410156,211.9462127685547,177.45675659179688
0.0,ig,0.07839188724756241,0.08544829487800598,2.8584401797839494,2.415442509081081,17.488820392099445
0.0,random,0.050534725189208984,0.10507287830114365,24.58626937866211,21.849462509155273,139.8099822998047
0.1,lime,,,,,
0.1,shap,,,,,
0.1,grad,,,,,
0.1,sg,,,,,
0.1,itg,,,,,
0.1,ig,,,,,
0.1,random,,,,,
0.3,lime,,,,,
0.3,shap,,,,,
0.3,grad,,,,,
0.3,sg,,,,,
0.3,itg,,,,,
0.3,ig,,,,,
0.3,random,,,,,
0.5,lime,,,,,
0.5,shap,,,,,
0.5,grad,,,,,
0.5,sg,,,,,
0.5,itg,,,,,
0.5,ig,,,,,
0.5,random,,,,,
